sqrtN_dJ_N8,sqrtN_dJ_N16,sqrtN_dJ_N32,sqrtN_dJ_N64
4.355934942707332311e+02,9.545176770499965642e+02,6.239849481896100514e+01,3.268226616261235904e+02
1.275015674543612022e+03,4.570453819112008205e+02,-1.099860703191592251e+02,-1.214655769953242270e+03
-1.620075109195391178e+03,-1.512427136463142233e+03,-9.247986452530916495e+02,-9.756026822351850569e+01
-1.058824856558474494e+03,-5.297388962968398118e+02,-2.353628845919311061e+02,9.712407923315768130e+02
-6.431659794610251311e+02,-3.427390456589928363e+02,1.074702965466087221e+02,-2.610532716245506890e+02
-1.858264010473638109e+03,-6.219113052326865727e+02,6.504526699057437327e+02,9.940723996738088317e+02
-8.591028113539620392e+01,1.892546541351955966e+03,2.316219871489105572e+03,6.745073269275017083e+02
-2.805112595131825856e+03,-1.630632983798685018e+03,9.543038999370780857e+02,1.353267141615011496e+03
-3.027227484570931210e+03,-1.602338369185046759e+03,-1.531485974904389195e+03,-1.714845598678512033e+03
1.763138923737019695e+03,1.460167186835460598e+02,1.421849811967121468e+03,-6.900483615960984025e+02
1.061450367930530092e+03,-4.514532521054352401e+02,-1.094718239009478793e+03,-6.308108973640191834e+02
-1.731463276889967347e+02,4.107451836531981826e+01,-2.752607942114777870e+02,-2.069158292181673460e+02
3.169431318050842037e+03,2.345956290971094859e+03,1.502864940123567521e+03,1.441910817255848087e+03
-2.638475853914620757e+02,-2.002926338467223104e+02,-5.245231348303408225e+01,9.139918744765163865e+02
1.158383244394240819e+03,4.629534184132353403e+00,1.643903553920429772e+01,6.548632785250665620e+02
-8.729968929891627738e+01,-1.146232954693114152e+02,1.499229880588295828e+03,1.505648540744005004e+03
-1.033792770580352681e+03,-1.656177478238023468e+03,-1.799387785679314675e+03,-1.508068958135816501e+03
-6.210841876090818232e+02,-1.649554371831982280e+03,-5.523660772165181925e+02,-1.111062513172510080e+01
-7.959604988135089343e+02,-3.032051571724587120e+02,-1.496704872891536979e+03,-4.265052627410623245e+02
-9.286294666143629684e+01,1.112867264174084994e+03,3.968766647085481054e+02,-2.994302033844287507e+02
6.026614192148829119e+01,-1.121437183994712541e+03,-2.045744118591146616e+02,-4.443296085859765299e+01
-7.142656927175085002e+02,5.022008789556130068e+02,-1.215982034820622630e+03,7.300656417411228176e+02
-1.070009029934326463e+03,-1.117028787957780878e+03,-1.080832732125953498e+03,-1.349955350680596894e+03
-1.056390171836226955e+03,-7.514746838965947973e+02,-1.796630898097429508e+03,-1.253611810170928948e+03
2.339416333891953855e+03,2.480185264029874816e+03,1.021075771294124820e+03,7.607838527621934190e+02
1.052465876102667153e+03,3.630538435744383605e+02,-5.872885304463658258e+02,3.244907833401812240e+02
4.532640999782041149e+02,2.206571226410393137e+03,1.682204287293573771e+03,2.426288280402019154e+03
-2.581212026083613182e+03,-4.210129976499883924e+02,1.544971518991189730e-01,-5.265850055930786766e+02
-5.215502126346963223e+02,-6.193834981761756353e+01,-1.809924132729678092e+01,-1.203160405290254857e+02
-1.528311876376999408e+03,-1.144297739002562594e+03,1.011706001649441902e+02,1.856688887334894389e+01
-5.395159400490971393e+02,1.130871496246370953e+03,8.760282655829679470e+02,1.612542256892746082e+03
