t,u_nominal control,u_SAA control
5.211684000000000339e+01,7.500284672708931843e+00,9.523459678105391291e+00
5.214742499999999836e+01,7.512879679511850206e+00,9.543566579935555794e+00
5.217801000000000045e+01,7.525479032000265356e+00,9.563765568075973889e+00
5.220859500000000253e+01,7.538098495790994669e+00,9.584032222876651019e+00
5.223918000000000461e+01,7.550768407843524876e+00,9.604383541181066519e+00
5.226976499999999959e+01,7.563435390879432063e+00,9.624818288833171920e+00
5.230035000000000167e+01,7.576142682198827139e+00,9.645321229088434478e+00
5.233093500000000375e+01,7.588873129256803907e+00,9.665904347693080823e+00
5.236151999999999873e+01,7.601623883647656399e+00,9.686558847554188389e+00
5.239210500000000081e+01,7.614393232823553070e+00,9.707261760424783503e+00
5.242269000000000290e+01,7.627211436038808579e+00,9.728039365523459381e+00
5.245327500000000498e+01,7.640018714886815054e+00,9.748879733764546529e+00
5.248385999999999996e+01,7.652869002022823608e+00,9.769772363334642051e+00
5.251444500000000204e+01,7.665747534520950701e+00,9.790715623977094495e+00
5.254503000000000412e+01,7.678632391450213035e+00,9.811715727117253039e+00
5.257561499999999910e+01,7.691553961708979870e+00,9.832912006310708719e+00
5.260620000000000118e+01,7.704479360470866567e+00,9.853987127130512391e+00
5.263678500000000327e+01,7.717430399231947291e+00,9.875090460645500556e+00
5.266737000000000535e+01,7.730394410408606198e+00,9.896240130636035914e+00
5.269795500000000033e+01,7.743385389013395681e+00,9.917420327845769989e+00
5.272854000000000241e+01,7.756384906508642985e+00,9.938626512685930336e+00
5.275912500000000449e+01,7.769412690444615244e+00,9.959877396182982068e+00
5.278970999999999947e+01,7.782453157987079706e+00,9.981144662163528025e+00
5.282029500000000155e+01,7.795516040317868267e+00,1.000245698162960473e+01
5.285088000000000363e+01,7.808600571855067507e+00,1.002380771731543696e+01
5.288146499999999861e+01,7.821698636026789053e+00,1.004503218065103098e+01
5.291205000000000069e+01,7.834835072333518724e+00,1.006646332226310570e+01
5.294263500000000278e+01,7.847975112985969837e+00,1.008795649147637974e+01
5.297322000000000486e+01,7.861151076474950372e+00,1.010948977227984891e+01
5.300380499999999984e+01,7.874348359643065010e+00,1.013109900218045922e+01
5.303439000000000192e+01,7.887579138336647588e+00,1.015275946593356338e+01
5.306497500000000400e+01,7.900849712191913454e+00,1.017449040749055733e+01
5.309555999999999898e+01,7.914123697420387238e+00,1.019630873152585515e+01
5.312614500000000106e+01,7.927445988456450543e+00,1.021818938970584867e+01
5.315673000000000314e+01,7.940804588689309718e+00,1.024014593952106189e+01
5.318731500000000523e+01,7.954179731377681861e+00,1.026219036685325392e+01
5.321790000000000020e+01,7.967590164676390252e+00,1.028432277742622780e+01
5.324848500000000229e+01,7.981035673351743576e+00,1.030653951610812236e+01
5.327907000000000437e+01,7.994501327943516422e+00,1.032884175400153914e+01
5.330965499999999935e+01,8.007987093312953775e+00,1.035122658697198084e+01
5.334024000000000143e+01,8.021504885036668142e+00,1.037369238455373832e+01
5.337082500000000351e+01,8.035028043598861913e+00,1.039624224919089635e+01
5.340140999999999849e+01,8.048572935364321168e+00,1.041887016060569948e+01
5.343199500000000057e+01,8.062120138507992806e+00,1.044156948132561347e+01
5.346258000000000266e+01,8.075660732387127894e+00,1.046431864656182853e+01
5.349316500000000474e+01,8.089223393297753972e+00,1.048713443251731725e+01
5.352374999999999972e+01,8.102792995958893130e+00,1.050998648044753381e+01
5.355433500000000180e+01,8.116356973713283907e+00,1.053289821858471598e+01
5.358492000000000388e+01,8.129921888921128215e+00,1.055582961515337281e+01
5.361550499999999886e+01,8.143513915702499162e+00,1.057894196631565720e+01
5.364609000000000094e+01,8.157096267519500898e+00,1.060190080390638911e+01
5.367667500000000302e+01,8.170681398679043639e+00,1.062484112531455338e+01
5.370726000000000511e+01,8.184290919442853252e+00,1.064778750438588162e+01
5.373784500000000008e+01,8.197932250088348027e+00,1.067070704440231133e+01
5.376843000000000217e+01,8.211592230013485150e+00,1.069360918847453590e+01
5.379901500000000425e+01,8.225272489289997324e+00,1.071648907999269262e+01
5.382959999999999923e+01,8.238987869955979093e+00,1.073935089821534739e+01
5.386018500000000131e+01,8.252770985067309439e+00,1.076222165117210494e+01
5.389077000000000339e+01,8.266580910320071141e+00,1.078514453493542113e+01
5.392135499999999837e+01,8.280440249225343052e+00,1.080811039423776698e+01
5.395194000000000045e+01,8.294349809704145926e+00,1.083101245328323792e+01
5.398252500000000254e+01,8.308316789820947790e+00,1.085424574225298144e+01
