t,u_nominal solution,u_SAA solution
2.587499999999999911e+00,3.172477633680981790e-01,3.152496292943897660e-01
2.594999999999999751e+00,3.179629187594227302e-01,3.159577435721639960e-01
2.602500000000000036e+00,3.186797478460418609e-01,3.166674646830403561e-01
2.609999999999999876e+00,3.193982524041665272e-01,3.173787995358184344e-01
2.617499999999999716e+00,3.201184341366256625e-01,3.180917550668039828e-01
2.625000000000000000e+00,3.208402946791616972e-01,3.188063382332529394e-01
2.632499999999999840e+00,3.215638356068338255e-01,3.195225560068859494e-01
2.639999999999999680e+00,3.222890584405032621e-01,3.202404153674747178e-01
2.647499999999999964e+00,3.230159646534029316e-01,3.209599232965870130e-01
2.654999999999999805e+00,3.237445556777505118e-01,3.216810867713945643e-01
2.662500000000000089e+00,3.244748329113893437e-01,3.224039127586532105e-01
2.669999999999999929e+00,3.252067977244438302e-01,3.231284082087991782e-01
2.677499999999999769e+00,3.259404514659411389e-01,3.238545800502100058e-01
2.685000000000000053e+00,3.266757954704362366e-01,3.245824351836318900e-01
2.692499999999999893e+00,3.274128310645599838e-01,3.253119804767671264e-01
2.699999999999999734e+00,3.281515595734980084e-01,3.260432227590662202e-01
2.707500000000000018e+00,3.288919823273837029e-01,3.267761688166881395e-01
2.714999999999999858e+00,3.296341006675884144e-01,3.275108253876540254e-01
2.722499999999999698e+00,3.303779159528755782e-01,3.282471991572343262e-01
2.729999999999999982e+00,3.311234295654156279e-01,3.289852967535068506e-01
2.737499999999999822e+00,3.318706429166368155e-01,3.297251247431607912e-01
2.745000000000000107e+00,3.326195574528966747e-01,3.304666896275088583e-01
2.752499999999999947e+00,3.333701746609645800e-01,3.312099978387205712e-01
2.759999999999999787e+00,3.341224960733021332e-01,3.319550557362765941e-01
2.767500000000000071e+00,3.348765232731101271e-01,3.327018696036614931e-01
2.774999999999999911e+00,3.356322578991398631e-01,3.334504456453015742e-01
2.782499999999999751e+00,3.363897016502773174e-01,3.342007899836974549e-01
2.790000000000000036e+00,3.371488562898473096e-01,3.349529086568069358e-01
2.797499999999999876e+00,3.379097236496602097e-01,3.357068076156691783e-01
2.804999999999999716e+00,3.386723056337865301e-01,3.364624927222542028e-01
2.812500000000000000e+00,3.394366042220421376e-01,3.372199697475499747e-01
2.819999999999999840e+00,3.402026214731683207e-01,3.379792443698547699e-01
2.827499999999999680e+00,3.409703595277346344e-01,3.387403221733205627e-01
2.834999999999999964e+00,3.417398206107218894e-01,3.395032086467175136e-01
2.842499999999999805e+00,3.425110070338057144e-01,3.402679091824098445e-01
2.850000000000000089e+00,3.432839211973331972e-01,3.410344290755454311e-01
2.857499999999999929e+00,3.440585655919716213e-01,3.418027735234637765e-01
2.864999999999999769e+00,3.448349428000587191e-01,3.425729476253243644e-01
2.872500000000000053e+00,3.456130554966332924e-01,3.433449563819280792e-01
2.879999999999999893e+00,3.463929064501646837e-01,3.441188046957235902e-01
2.887499999999999734e+00,3.471744985229587299e-01,3.448944973710338369e-01
2.895000000000000018e+00,3.479578346712681736e-01,3.456720391144413873e-01
2.902499999999999858e+00,3.487429179451007055e-01,3.464514345353726377e-01
2.909999999999999698e+00,3.495297514877280798e-01,3.472326881468599802e-01
2.917499999999999982e+00,3.503183385349120105e-01,3.480158043664440815e-01
2.924999999999999822e+00,3.511086824138430207e-01,3.488007875172735028e-01
2.932500000000000107e+00,3.519007865418061765e-01,3.495876418293343835e-01
2.939999999999999947e+00,3.526946544245896931e-01,3.503763714408425489e-01
2.947499999999999787e+00,3.534902896546322504e-01,3.511669803997551909e-01
2.955000000000000071e+00,3.542876959089224509e-01,3.519594726654306505e-01
2.962499999999999911e+00,3.550868769466759556e-01,3.527538521104156000e-01
2.969999999999999751e+00,3.558878366067921295e-01,3.535501225223485755e-01
2.977500000000000036e+00,3.566905788050984683e-01,3.543482876059755871e-01
2.984999999999999876e+00,3.574951075313803073e-01,3.551483509852519926e-01
2.992499999999999716e+00,3.583014268462734742e-01,3.559503162055719372e-01
3.000000000000000000e+00,3.591095408779592102e-01,3.567541867360720098e-01
3.007499999999999840e+00,3.599194538187123205e-01,3.575599659720046231e-01
3.014999999999999680e+00,3.607311699213184286e-01,3.583676572372195834e-01
3.022499999999999964e+00,3.615446934953646663e-01,3.591772637866797457e-01
3.029999999999999805e+00,3.623600289034284994e-01,3.599887888090639865e-01
3.037500000000000089e+00,3.631771805571705758e-01,3.608022354294229683e-01
3.044999999999999929e+00,3.639961529133612927e-01,3.616176067118656023e-01
3.052499999999999769e+00,3.648169504698423049e-01,3.624349056623022980e-01
3.060000000000000053e+00,3.656395777614475096e-01,3.632541352312351757e-01
3.067499999999999893e+00,3.664640393559066567e-01,3.640752983165734258e-01
3.074999999999999734e+00,3.672903398497240901e-01,3.648983977664747580e-01
3.082500000000000018e+00,3.681184838640609303e-01,3.657234363821946221e-01
3.089999999999999858e+00,3.689484760406687713e-01,3.665504169209561902e-01
3.097499999999999698e+00,3.697803210378192151e-01,3.673793420988705760e-01
3.104999999999999982e+00,3.706140235263097882e-01,3.682102145938171422e-01
3.112499999999999822e+00,3.714495881855279236e-01,3.690430370483325784e-01
3.120000000000000107e+00,3.722870196995906045e-01,3.698778120725101926e-01
3.127499999999999947e+00,3.731263227535894789e-01,3.707145422468979268e-01
3.134999999999999787e+00,3.739675020299313424e-01,3.715532301253765546e-01
3.142500000000000071e+00,3.748105622048131247e-01,3.723938782380430967e-01
3.149999999999999911e+00,3.756555079448164469e-01,3.732364890940571001e-01
3.157499999999999751e+00,3.765023439036319086e-01,3.740810651844851953e-01
3.165000000000000036e+00,3.773510747189764980e-01,3.749276089851205085e-01
3.172499999999999876e+00,3.782017050096387334e-01,3.757761229592877505e-01
3.179999999999999716e+00,3.790542393727224235e-01,3.766266095606125019e-01
3.187500000000000000e+00,3.799086823810575719e-01,3.774790712357793399e-01
3.194999999999999840e+00,3.807650385808144522e-01,3.783335104272476102e-01
3.202499999999999680e+00,3.816233124893148032e-01,3.791899295759529886e-01
3.209999999999999964e+00,3.824835085930367584e-01,3.800483311239831741e-01
3.217499999999999805e+00,3.833456313458438180e-01,3.809087175172072848e-01
3.225000000000000089e+00,3.842096851674222657e-01,3.817710912079003149e-01
3.232499999999999929e+00,3.850756744419436273e-01,3.826354546573092485e-01
3.239999999999999769e+00,3.859436035169450108e-01,3.835018103382082377e-01
3.247500000000000053e+00,3.868134767024324350e-01,3.843701607374252482e-01
3.254999999999999893e+00,3.876852982702284622e-01,3.852405083583285150e-01
3.262499999999999734e+00,3.885590724535257223e-01,3.861128557232992309e-01
3.270000000000000018e+00,3.894348034466922903e-01,3.869872053761547748e-01
3.277499999999999858e+00,3.903124954052678564e-01,3.878635598845511789e-01
3.284999999999999698e+00,3.911921524462166344e-01,3.887419218423702194e-01
3.292499999999999982e+00,3.920737786484037590e-01,3.896222938720703688e-01
3.299999999999999822e+00,3.929573780532732430e-01,3.905046786270033876e-01
3.307499999999999662e+00,3.938429546657483127e-01,3.913890787937254201e-01
3.314999999999999947e+00,3.947305124553446287e-01,3.922754970942645691e-01
3.322499999999999787e+00,3.956200553574936718e-01,3.931639362883844746e-01
3.330000000000000071e+00,3.965115872750419324e-01,3.940543991758104769e-01
3.337499999999999911e+00,3.974051120799682590e-01,3.949468885984420696e-01
3.344999999999999751e+00,3.983006336152856708e-01,3.958414074425358753e-01
3.352500000000000036e+00,3.991981556970989331e-01,3.967379586408695258e-01
3.359999999999999876e+00,4.000976821168515385e-01,3.976365451749166446e-01
3.367499999999999716e+00,4.009992166437039707e-01,3.985371700769695935e-01
3.375000000000000000e+00,4.019027630270988749e-01,3.994398364322461203e-01
3.382499999999999840e+00,4.028083249994308668e-01,4.003445473809898458e-01
3.389999999999999680e+00,4.037159062788683306e-01,4.012513061205609244e-01
3.397499999999999964e+00,4.046255105722783019e-01,4.021601159074982834e-01
3.404999999999999805e+00,4.055371415782606515e-01,4.030709800595616565e-01
3.412500000000000089e+00,4.064508029902867414e-01,4.039839019577722845e-01
3.419999999999999929e+00,4.073664984999027516e-01,4.048988850484286917e-01
3.427499999999999769e+00,4.082842318000199366e-01,4.058159328451003134e-01
3.435000000000000053e+00,4.092040065882561750e-01,4.067350489306147399e-01
3.442499999999999893e+00,4.101258265703287553e-01,4.076562369590217560e-01
